N,log2k,k,p1_per_challenge,c,p_detect_analytic,p_detect_sim,expected_rounds_to_detect,storage_fraction_upper_only
3355443200,4,16,0.06249999972060323,1,0.06249999972060327,0.06203,16.000000071525562,0.062499999860301615
3355443200,4,16,0.06249999972060323,10,0.47553952338825933,0.47417,2.1028746314815545,0.062499999860301615
3355443200,4,16,0.06249999972060323,50,0.960320716035485,0.95976,1.0413187837166775,0.062499999860301615
3355443200,4,16,0.06249999972060323,100,0.9984255544240633,0.99832,1.0015769283638227,0.062499999860301615
3355443200,5,32,0.031249999711290003,1,0.031249999711290055,0.031215,32.00000029563898,0.031249999855645
3355443200,5,32,0.031249999711290003,10,0.2720238411583338,0.273185,3.676148368987781,0.031249999855645
3355443200,5,32,0.031249999711290003,50,0.7955506273858324,0.79466,1.2569910268136992,0.031249999855645
3355443200,5,32,0.031249999711290003,100,0.9582004540376733,0.957465,1.043622966140531,0.031249999855645
3355443200,6,64,0.01562499970663339,1,0.015624999706633336,0.015145,64.00000120162989,0.015624999853316694
3355443200,6,64,0.01562499970663339,10,0.14570914768999865,0.145225,6.862987093490762,0.015624999853316694
3355443200,6,64,0.01562499970663339,50,0.5449817875664589,0.543815,1.8349237035339516,0.015624999853316694
3355443200,6,64,0.01562499970663339,100,0.7929584263537848,0.793125,1.2611001620832036,0.015624999853316694
3355443200,7,128,0.007812499704305083,1,0.007812499704305087,0.007745,128.00000484466563,0.007812499852152541
3355443200,7,128,0.007812499704305083,10,0.07543486064798222,0.075755,13.25647043568508,0.007812499852152541
3355443200,7,128,0.007812499704305083,50,0.32440321861940213,0.32384,3.0825834720623555,0.007812499852152541
3355443200,7,128,0.007812499704305083,100,0.5435689889881767,0.54321,1.839692882151802,0.007812499852152541
3355443200,8,256,0.0039062497031409293,1,0.003906249703140907,0.00391,256.000019454959,0.003906249851570465
3355443200,8,256,0.0039062497031409293,10,0.0383829555177313,0.03767,26.053230828929845,0.003906249851570465
3355443200,8,256,0.0039062497031409293,50,0.17773697318960646,0.17925,5.6262913790774345,0.003906249851570465
3355443200,8,256,0.0039062497031409293,100,0.32388351474061006,0.32259,3.0875297892233697,0.003906249851570465
3355443200,9,512,0.0019531247025588526,1,0.0019531247025588172,0.00196,512.0000779724332,0.0019531248512794264
3355443200,9,512,0.0019531247025588526,10,0.01936047672143304,0.019215,51.6516206903598,0.0019531248512794264
3355443200,9,512,0.0019531247025588526,50,0.09312597175714121,0.092615,10.738142981292613,0.0019531248512794264
3355443200,9,512,0.0019531247025588526,100,0.17757949689857067,0.1782,5.631280736036644,0.0019531248512794264
3355443200,10,1024,0.0009765622022678143,1,0.0009765622022678278,0.001075,1024.0003121949055,0.0009765623511339072
3355443200,10,1024,0.0009765622022678143,10,0.009722818272444589,0.00982,102.85083727565876,0.0009765623511339072
3355443200,10,1024,0.0009765622022678143,50,0.0476779061056688,0.047015,20.974075450874345,0.0009765623511339072
3355443200,10,1024,0.0009765622022678143,100,0.09308262948071666,0.09294,10.743143007226323,0.0009765623511339072
3355443200,11,2048,0.0004882809521222952,1,0.0004882809521222775,0.000495,2048.001249390485,0.0004882811010611476
3355443200,11,2048,0.0004882809521222952,10,0.004872094656136472,0.005195,205.25052786905235,0.0004882811010611476
