log2N,claimed_GiB,cheater_bytes,passed,challenges,resp_us
24,1.0,800,10000,10000,7.544589042663574
28,16.0,928,10000,10000,8.696818351745605
32,256.0,1056,10000,10000,11.831808090209961
36,4096.0,1184,10000,10000,10.879373550415039
