delta,delta_s,rtt_s,honest_reads,honest_resp_meas_s,honest_resp_cons_s,honest_resp_s,honest_meets_delta,budget_s,phi_seq_saturated,t_seq_saturated_s,min_store_frac_seq,min_store_rho_seq,min_store_s_seq,min_store_bytes_seq,t_seq_at_min_s,par_floor_theory_s,par_floor_measfit_s,v2_min_store_frac,separation_seq,separation_par
2,0.1,0.05,99.0,0.0015662631598934238,0.00792,0.05792,True,0.05,0.502263069152832,82.76360064823454,0.7499999996647239,0.5,2,161061273504,0.0011000343760742524,5.149418062171586,53.10313804449246,5.7220458984375e-06,PASS (>50% forced),PASS
2,0.1,0.15,99.0,0.0015662631598934238,0.00792,0.15792,False,-0.04999999999999999,0.502263069152832,82.76360064823454,1.0,1.0,1,214748364768,0.0,5.149418062171586,53.10313804449246,,honest-fails,honest-fails
2,0.1,0.3,99.0,0.0015662631598934238,0.00792,0.30791999999999997,False,-0.19999999999999998,0.502263069152832,82.76360064823454,1.0,1.0,1,214748364768,0.0,5.149418062171586,53.10313804449246,,honest-fails,honest-fails
2,0.5,0.05,99.0,0.0015662631598934238,0.00792,0.05792,True,0.45,0.502263069152832,82.76360064823454,0.7499999996647239,0.5,2,161061273504,0.0011000343760742524,5.149418062171586,53.10313804449246,3.5762786865234375e-07,PASS (>50% forced),PASS
2,0.5,0.15,99.0,0.0015662631598934238,0.00792,0.15792,True,0.35,0.502263069152832,82.76360064823454,0.7499999996647239,0.5,2,161061273504,0.0011000343760742524,5.149418062171586,53.10313804449246,7.152557373046875e-07,PASS (>50% forced),PASS
2,0.5,0.3,99.0,0.0015662631598934238,0.00792,0.30791999999999997,True,0.2,0.502263069152832,82.76360064823454,0.7499999996647239,0.5,2,161061273504,0.0011000343760742524,5.149418062171586,53.10313804449246,1.430511474609375e-06,PASS (>50% forced),PASS
2,1.0,0.05,99.0,0.0015662631598934238,0.00792,0.05792,True,0.95,0.502263069152832,82.76360064823454,0.7499999996647239,0.5,2,161061273504,0.0011000343760742524,5.149418062171586,53.10313804449246,1.7881393432617188e-07,PASS (>50% forced),PASS
2,1.0,0.15,99.0,0.0015662631598934238,0.00792,0.15792,True,0.85,0.502263069152832,82.76360064823454,0.7499999996647239,0.5,2,161061273504,0.0011000343760742524,5.149418062171586,53.10313804449246,1.7881393432617188e-07,PASS (>50% forced),PASS
2,1.0,0.3,99.0,0.0015662631598934238,0.00792,0.30791999999999997,True,0.7,0.502263069152832,82.76360064823454,0.7499999996647239,0.5,2,161061273504,0.0011000343760742524,5.149418062171586,53.10313804449246,3.5762786865234375e-07,PASS (>50% forced),PASS
2,2.0,0.05,99.0,0.0015662631598934238,0.00792,0.05792,True,1.95,0.502263069152832,82.76360064823454,0.7499999996647239,0.5,2,161061273504,0.0011000343760742524,5.149418062171586,53.10313804449246,8.940696716308594e-08,PASS (>50% forced),PASS
2,2.0,0.15,99.0,0.0015662631598934238,0.00792,0.15792,True,1.85,0.502263069152832,82.76360064823454,0.7499999996647239,0.5,2,161061273504,0.0011000343760742524,5.149418062171586,53.10313804449246,8.940696716308594e-08,PASS (>50% forced),PASS
2,2.0,0.3,99.0,0.0015662631598934238,0.00792,0.30791999999999997,True,1.7,0.502263069152832,82.76360064823454,0.7499999996647239,0.5,2,161061273504,0.0011000343760742524,5.149418062171586,53.10313804449246,8.940696716308594e-08,PASS (>50% forced),PASS
2,5.0,0.05,99.0,0.0015662631598934238,0.00792,0.05792,True,4.95,0.502263069152832,82.76360064823454,0.7499999996647239,0.5,2,161061273504,0.0011000343760742524,5.149418062171586,53.10313804449246,4.470348358154297e-08,PASS (>50% forced),PASS
2,5.0,0.15,99.0,0.0015662631598934238,0.00792,0.15792,True,4.85,0.502263069152832,82.76360064823454,0.7499999996647239,0.5,2,161061273504,0.0011000343760742524,5.149418062171586,53.10313804449246,4.470348358154297e-08,PASS (>50% forced),PASS
2,5.0,0.3,99.0,0.0015662631598934238,0.00792,0.30791999999999997,True,4.7,0.502263069152832,82.76360064823454,0.7499999996647239,0.5,2,161061273504,0.0011000343760742524,5.149418062171586,53.10313804449246,4.470348358154297e-08,PASS (>50% forced),PASS
4,0.1,0.05,164.2,0.002598561104193181,0.013139940000000001,0.06313994,True,0.05,0.5720374584197998,94.26112066002062,0.9999999997019767,1.0,1,214748364704,0.0,5.149418062171586,53.10313804449246,5.7220458984375e-06,PASS (~100% forced),PASS
4,0.1,0.15,164.2,0.002598561104193181,0.013139940000000001,0.16313993999999998,False,-0.04999999999999999,0.5720374584197998,94.26112066002062,1.0,1.0,1,214748364768,0.0,5.149418062171586,53.10313804449246,,honest-fails,honest-fails
4,0.1,0.3,164.2,0.002598561104193181,0.013139940000000001,0.31313994,False,-0.19999999999999998,0.5720374584197998,94.26112066002062,1.0,1.0,1,214748364768,0.0,5.149418062171586,53.10313804449246,,honest-fails,honest-fails
4,0.5,0.05,164.2,0.002598561104193181,0.013139940000000001,0.06313994,True,0.45,0.5720374584197998,94.26112066002062,0.9999999997019767,1.0,1,214748364704,0.0,5.149418062171586,53.10313804449246,3.5762786865234375e-07,PASS (~100% forced),PASS
4,0.5,0.15,164.2,0.002598561104193181,0.013139940000000001,0.16313993999999998,True,0.35,0.5720374584197998,94.26112066002062,0.9999999997019767,1.0,1,214748364704,0.0,5.149418062171586,53.10313804449246,7.152557373046875e-07,PASS (~100% forced),PASS
4,0.5,0.3,164.2,0.002598561104193181,0.013139940000000001,0.31313994,True,0.2,0.5720374584197998,94.26112066002062,0.9999999997019767,1.0,1,214748364704,0.0,5.149418062171586,53.10313804449246,1.430511474609375e-06,PASS (~100% forced),PASS
4,1.0,0.05,164.2,0.002598561104193181,0.013139940000000001,0.06313994,True,0.95,0.5720374584197998,94.26112066002062,0.9999999997019767,1.0,1,214748364704,0.0,5.149418062171586,53.10313804449246,1.7881393432617188e-07,PASS (~100% forced),PASS
4,1.0,0.15,164.2,0.002598561104193181,0.013139940000000001,0.16313993999999998,True,0.85,0.5720374584197998,94.26112066002062,0.9999999997019767,1.0,1,214748364704,0.0,5.149418062171586,53.10313804449246,1.7881393432617188e-07,PASS (~100% forced),PASS
4,1.0,0.3,164.2,0.002598561104193181,0.013139940000000001,0.31313994,True,0.7,0.5720374584197998,94.26112066002062,0.9999999997019767,1.0,1,214748364704,0.0,5.149418062171586,53.10313804449246,3.5762786865234375e-07,PASS (~100% forced),PASS
4,2.0,0.05,164.2,0.002598561104193181,0.013139940000000001,0.06313994,True,1.95,0.5720374584197998,94.26112066002062,0.9999999997019767,1.0,1,214748364704,0.0,5.149418062171586,53.10313804449246,8.940696716308594e-08,PASS (~100% forced),PASS
4,2.0,0.15,164.2,0.002598561104193181,0.013139940000000001,0.16313993999999998,True,1.85,0.5720374584197998,94.26112066002062,0.9999999997019767,1.0,1,214748364704,0.0,5.149418062171586,53.10313804449246,8.940696716308594e-08,PASS (~100% forced),PASS
4,2.0,0.3,164.2,0.002598561104193181,0.013139940000000001,0.31313994,True,1.7,0.5720374584197998,94.26112066002062,0.9999999997019767,1.0,1,214748364704,0.0,5.149418062171586,53.10313804449246,8.940696716308594e-08,PASS (~100% forced),PASS
4,5.0,0.05,164.2,0.002598561104193181,0.013139940000000001,0.06313994,True,4.95,0.5720374584197998,94.26112066002062,0.9999999997019767,1.0,1,214748364704,0.0,5.149418062171586,53.10313804449246,4.470348358154297e-08,PASS (~100% forced),PASS
4,5.0,0.15,164.2,0.002598561104193181,0.013139940000000001,0.16313993999999998,True,4.85,0.5720374584197998,94.26112066002062,0.9999999997019767,1.0,1,214748364704,0.0,5.149418062171586,53.10313804449246,4.470348358154297e-08,PASS (~100% forced),PASS
4,5.0,0.3,164.2,0.002598561104193181,0.013139940000000001,0.31313994,True,4.7,0.5720374584197998,94.26112066002062,0.9999999997019767,1.0,1,214748364704,0.0,5.149418062171586,53.10313804449246,4.470348358154297e-08,PASS (~100% forced),PASS
8,0.1,0.05,292.7,0.004631440163804855,0.023419440000000003,0.07341944,True,0.05,0.5823526382446289,95.96087020576536,0.9999999997019767,1.0,1,214748364704,0.0,5.149418062171586,53.10313804449246,5.7220458984375e-06,PASS (~100% forced),PASS
8,0.1,0.15,292.7,0.004631440163804855,0.023419440000000003,0.17341944,False,-0.04999999999999999,0.5823526382446289,95.96087020576536,1.0,1.0,1,214748364768,0.0,5.149418062171586,53.10313804449246,,honest-fails,honest-fails
8,0.1,0.3,292.7,0.004631440163804855,0.023419440000000003,0.32341944,False,-0.19999999999999998,0.5823526382446289,95.96087020576536,1.0,1.0,1,214748364768,0.0,5.149418062171586,53.10313804449246,,honest-fails,honest-fails
8,0.5,0.05,292.7,0.004631440163804855,0.023419440000000003,0.07341944,True,0.45,0.5823526382446289,95.96087020576536,0.9999999997019767,1.0,1,214748364704,0.0,5.149418062171586,53.10313804449246,3.5762786865234375e-07,PASS (~100% forced),PASS
8,0.5,0.15,292.7,0.004631440163804855,0.023419440000000003,0.17341944,True,0.35,0.5823526382446289,95.96087020576536,0.9999999997019767,1.0,1,214748364704,0.0,5.149418062171586,53.10313804449246,7.152557373046875e-07,PASS (~100% forced),PASS
8,0.5,0.3,292.7,0.004631440163804855,0.023419440000000003,0.32341944,True,0.2,0.5823526382446289,95.96087020576536,0.9999999997019767,1.0,1,214748364704,0.0,5.149418062171586,53.10313804449246,1.430511474609375e-06,PASS (~100% forced),PASS
8,1.0,0.05,292.7,0.004631440163804855,0.023419440000000003,0.07341944,True,0.95,0.5823526382446289,95.96087020576536,0.9999999997019767,1.0,1,214748364704,0.0,5.149418062171586,53.10313804449246,1.7881393432617188e-07,PASS (~100% forced),PASS
8,1.0,0.15,292.7,0.004631440163804855,0.023419440000000003,0.17341944,True,0.85,0.5823526382446289,95.96087020576536,0.9999999997019767,1.0,1,214748364704,0.0,5.149418062171586,53.10313804449246,1.7881393432617188e-07,PASS (~100% forced),PASS
8,1.0,0.3,292.7,0.004631440163804855,0.023419440000000003,0.32341944,True,0.7,0.5823526382446289,95.96087020576536,0.9999999997019767,1.0,1,214748364704,0.0,5.149418062171586,53.10313804449246,3.5762786865234375e-07,PASS (~100% forced),PASS
8,2.0,0.05,292.7,0.004631440163804855,0.023419440000000003,0.07341944,True,1.95,0.5823526382446289,95.96087020576536,0.9999999997019767,1.0,1,214748364704,0.0,5.149418062171586,53.10313804449246,8.940696716308594e-08,PASS (~100% forced),PASS
8,2.0,0.15,292.7,0.004631440163804855,0.023419440000000003,0.17341944,True,1.85,0.5823526382446289,95.96087020576536,0.9999999997019767,1.0,1,214748364704,0.0,5.149418062171586,53.10313804449246,8.940696716308594e-08,PASS (~100% forced),PASS
