log2N,N,delta,avg_indeg,mean_sha_blocks,labels_per_s_py,MiB_per_s_py,plot_s_total,parent_sample_s,label_hash_s,plot_time_native_s,n_open_mean,proof_bytes_median,proof_bytes_max,proof_bytes_analytic,prove_us_median,verify_us_median,verify_us_p99,verify_native_us
18,262144,2,2.0,2.0,575098.8,17.551,0.4558,0.2623,0.1936,0.012874,3,1824,1824,1824,7.166,17.583,24.625,2.701
20,1048576,2,2.0,2.0,576940.2,17.607,1.8175,1.0853,0.7322,0.051494,3,2016,2016,2016,8.084,19.083,21.792,2.9956
22,4194304,2,2.0,2.0,557193.8,17.004,7.5275,4.5466,2.9809,0.205977,3,2208,2208,2208,9.875,21.084,29.083,3.2903
18,262144,4,3.9749,2.9996,308462.3,9.414,0.8498,0.6421,0.2077,0.019308,4.965,3040,3040,3040,12.937,29.708,38.542,4.438
20,1048576,4,3.9803,2.9997,288021.3,8.79,3.6406,2.6048,1.0358,0.077234,4.99,3360,3360,3360,14.375,32.333,37.083,4.9502
22,4194304,4,3.984,2.9998,287506.6,8.774,14.5886,10.8487,3.7399,0.308946,4.99,3680,3680,3680,17.083,37.833,43.875,5.4403
18,262144,8,7.8349,4.9846,144212.1,4.401,1.8178,1.4779,0.3399,0.032085,8.865,5472,5472,5472,25.062,55.146,68.209,7.8854
20,1048576,8,7.8688,4.9895,142625.9,4.353,7.3519,6.0317,1.3202,0.128464,8.925,6048,6048,6048,27.313,62.854,72.959,8.815
22,4194304,8,7.8927,4.9924,139175.9,4.247,30.1367,24.6316,5.5051,0.51416,8.92,6624,6624,6624,31.834,67.75,73.666,9.6862
