source,n,s,updates_measured,runs,committed_mean,committed_sd,p50_ms,p95_ms,p99_ms,p50_sd,messages_per_update,messages_per_update_sd,round_trips_per_update,ledger_entries_appended,note
emulation,32,3,50,3,50.0000,0.0000,583.0062,834.4473,866.5520,3.2035,22.0800,0.0000,11.0400,150.0000,wire RPCs; ledger delta measured ring-wide
sim,32,3,7200,1,7200.0000,0.0000,438.5000,646.5000,826.5000,0.0000,18.7522,0.0000,9.3761,44847.0000,logical RTs incl self; growth over 7200s (updates+TTL refresh)
